,date,Exhibitions De Kooning,Exhibitions Klimt
23,1965,,1.0
24,1966,,1.0
0,1968,1.0,
1,1969,1.0,
25,1970,,1.0
2,1974,1.0,
3,1976,1.0,
4,1983,1.0,
5,1984,2.0,1.0
6,1986,1.0,
7,1990,2.0,
8,1991,1.0,
9,1994,1.0,1.0
10,1995,1.0,
11,1998,1.0,
26,1999,,1.0
27,2001,,1.0
12,2002,2.0,1.0
28,2004,,1.0
13,2005,1.0,4.0
14,2006,1.0,2.0
15,2007,1.0,1.0
16,2008,1.0,2.0
17,2009,1.0,2.0
29,2010,,1.0
18,2011,3.0,
19,2012,1.0,2.0
30,2014,,3.0
31,2015,,1.0
20,2016,2.0,
21,2017,1.0,
32,2018,,3.0
33,2020,,2.0
22,2021,1.0,3.0
34,2023,,1.0
