,soldtime,rounded_prices,count
0,2008,0.0,41
1,2008,10000000.0,2
2,2008,20000000.0,1
3,2008,40000000.0,2
4,2008,70000000.0,1
5,2008,120000000.0,1
6,2009,0.0,14
7,2009,10000000.0,1
8,2009,30000000.0,1
9,2009,60000000.0,1
16,2010,90000000.0,1
15,2010,60000000.0,1
14,2010,40000000.0,1
11,2010,10000000.0,1
12,2010,20000000.0,1
10,2010,0.0,28
13,2010,30000000.0,1
17,2011,0.0,36
18,2011,10000000.0,3
19,2011,20000000.0,1
20,2011,30000000.0,2
21,2011,40000000.0,3
26,2012,140000000.0,1
25,2012,120000000.0,1
22,2012,0.0,36
23,2012,20000000.0,2
24,2012,80000000.0,1
35,2013,320000000.0,1
33,2013,190000000.0,1
32,2013,140000000.0,1
31,2013,90000000.0,1
34,2013,240000000.0,1
29,2013,40000000.0,2
28,2013,10000000.0,3
27,2013,0.0,71
30,2013,60000000.0,1
43,2014,170000000.0,1
36,2014,0.0,31
37,2014,10000000.0,1
38,2014,20000000.0,1
39,2014,40000000.0,2
40,2014,60000000.0,1
41,2014,100000000.0,1
42,2014,140000000.0,1
44,2014,210000000.0,1
