title,publisher,date,isbn,Authors,category,Exhibit locations
"Gustav Klimt and Egon Schiele. Exhibition 65/1, February-April 1965",,1965,UOM:39015006624137,Solomon R. Guggenheim Museum,K,
"Gustav Klimt. Paintings and Drawings : [exhibition], October-November 1965, Marlborough Fine Art Limited ... [et Al.].",,1966,UOM:39015028411422,"Gustav Klimt, Marlborough Fine Art Ltd",K,
"Gustav Klimt, 1862-1918: Drawings. Exhibition March - April 1970, the Galerie St. Etienne, New York",,1970,UCSC:32106001453866,Gustav Klimt,K,New York
"Gustav Klimt, Oskar Kokoschka, Egon Schiele : Zeichnungen und Aquarelle, [Ausstellung, Pfalzgalerie, Kaiserslautern, 1. September bis 14. Oktober 1984]. ","Kaiserslautern : Pfalzgalerie , 1984",1984,8820205866,,K,Ausstellung
"Il disegno del nostro secolo : prima parte, da Klimt à Wols, [mostra, Milano, Fondazione Antonio Mazzotta, 11 aprile-10 luglio 1994]. ","Milano : Mazzotta , 1994-",1994,8820210908,,K,
"Heiliger Frühling : Gustav Klimt und die Anfänge der Wiener Secession 1895-1905, mit 444 Abbildungen, Davon 357 in Farbe, [Ausstellung, Graphisch Sammlung Albertina, Wien, 16. Oktober 1998 bis 10. Jänner 1999]. ","Wien ; München : C. Brandstätter , 1999",1999,3854478569,,K,"Farbe, Ausstellung"
"Klimt, Kokoschka, Schiele : dall'art nouveau all'espressionismo, [mostra, Roma, Complesso di Vittoriano, 6 ottobre 2001 - 3 febbraio 2002] / [Jane Kallir,...]. ","Milano : Mazzotta , 2001",2001,8820215020,,K,"Kokoschka, Roma, Vittoriano"
"Klimt und die Frauen : [Ausstellung, Österreichische Galerie Belvedere, Wien, 20. September 2000 bis 7. Januar 2001]. ","[Köln] : DuMont , 2002",2002,3832172718,,K,"Frauen, Ausstellung"
"Gustav Klimt : disegni dalla collezione Sabarsky, [mostra, Torino, Pinacoteca Giovanni e Marella Agnelli, 29 gennaio-25 aprile 2004]. ","Torino : Ed. GAM , impr. 2004",2004,8888103295,,K,
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, album de l'exposition, [Paris], Galeries nationales du Grand Palais, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711850560,,K,"Kokoschka, Paris, Grand Palais"
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, [exposition], Galerie nationales du Grand Palais, Paris, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711849244,,K,"Kokoschka, Galerie, Grand Palais, Paris"
"Gustav Klimt : papiers érotiques, [exposition, Paris, Musée Maillol, 9 mars-30 mai 2005]. ","[Paris] : Gallimard : Fondation Dina Vierny-Musée Maillol , 2005",2005,2070118053,,K,Paris
"Vienna 1900 : Klimt, Schiele, Moser, Kokoschka, [exhibition], Galeries nationales du Grand Palais, Paris, 3 October 2005-23 January 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,271185003X,,K,"Vienna, Kokoschka, Grand Palais, Paris"
"Schiele, Klimt, Kokoschka e gli amici viennesi. Catalgo della mostra (Rovereto, 7 ottobre 2006-8 gennaio 2007). ",,2006,8876249508,"Tobias Günter Natter, Tomas Sharman, Thomas Trummer",K,Kokoschka
"Schiele, Klimt, Kokoschka e gli amici viennesi : [mostra, Roverto, Museo di arte moderna e contemporanea di Trento e Roverto, 7 ottobre 2006 - 8 gennaio 2007]. ","Milano : Skira ; Trento : MART, Museo di arte moderna e contemporanea di Trento e Roverto , cop. 2006",2006,8876249508,,K,"Kokoschka, Trento"
"Il simbolismo : da Moreau a Gauguin a Klimt, mostra, Ferrara, Ferrara palazzo dei Diamanti, 18 febbraio-20 maggio 2007, Roma, Roma galleria nazionale d'arte moderna, 7 giugno-16 settembre 2007. ","Ferrara : Ferrara arte , impr. 2007",2007,8889793066,,K,"Ferrara, Ferrara, giugno-16"
"L'abbraccio di Vienna : Klimt, Schiele e i capolavori del Belvedere, [mostra, Como, Villa Olmo, 15 marzo - 20 luglio 2008]. ","Cinisello Balsamo (Milano) : Silvana , 2008",2008,9788836610846,,K,Vienna
"Gustav Klimt : painting, design and modern life, [exhibition, Tate Liverpool, 30 May - 31 August 2008]. ","London : Tate gallery publishing , 2008",2008,9781854377357,,K,
"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard..., [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010 , Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081229440,,K,"Lautrec, Degas, Marseille, Toronto, juin-26"
"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard, [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010, Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081236912,,K,"Lautrec, Degas, Marseille, Toronto, juin-26"
"Vienna 1900 : Klimt, Schiele, and their times, a total work of art, [exhibition, Fondation Beyeler, Basel, September 26, 2010 - January 16, 2011]. ","Ostfildern (Allemagne) : Hatje Cantz , cop. 2010",2010,3775726853,,K,"Vienna, Basel"
"Klimt persönlich : Bilder, Briefe, Einblicke, [Jubiläumsausstellung, 24.02.2012 - 27.08.2012 im Leopold Museum, Wien]. ","Wien : Brandtstätter , cop. 2012",2012,385033628X,,K,Jubiläumsausstellung
"Gustav Klimt : Erwartung und Erfüllung, Entwürfde zum Mosaikfries im Palais Stoclet, [Ausstellung, Wien, MAK, Österreichisches Museum für Angewandte Kunst, 21.3-15.7.2012]. ","Ostfildern : Hatje Cantz , cop. 2012",2012,3775733051,,K,"Ausstellung, Wien"
"L'ossessione nordica : Böcklin, Klimt, Munch e la pittura italiana, [mostra, Rovigo, Palazzo Roverella, 22 febbraio-22 giugno 2014]. ","Venezia : Marsilio , 2014",2014,8831717847,,K,"Munch, Rovigo"
"L'ossessione nordica. Klimt, Böcklin, Munch e la pittura italiana. Catalogo della mostra (Rovigo, 22 febbraio-21 giugno 2014). ",,2014,8831717847,"Giandomenico Romanelli, A. Tiddia",K,"Böcklin, Munch"
"Klimt : alle origini di un mito, [mostra, Milan, Palazzo reale, 12.03-13.07, 2014]. ","Milano : 24 ore cultura , impr. 2014",2014,8866481939,,K,Milan
"Au temps de Klimt : la sécession à Vienne, [exposition, Paris, Pinacothèque de Paris, 12 février-21 juin 2015]. ","Milan : 24 Ore cultura ; Paris : Pinacothèque de Paris , cop. 2015",2015,8866482552,,K,"Paris, Pinacothèque de Paris, février-21"
"Klimt and Schiele : drawings from the Albertina Museum, Vienna, [exhibition, Museum of fine arts, Boston, from February 25 to May 28, 2018]. ","Boston, MA : Museum of Fine Arts, Boston : D.A.P./Distributed Art Publishers (Distributor)",2018,0878468528,,K,"Vienna, Boston"
"Faszination Japan : Monet, Van Gogh, Klimt, [Ausstellung, Bank Austria Kunstforum Wien, 10. Oktober 2018 bis 20. Januar 2019]. ",[Heidelberg] : Kehrer,2018,3868288821,,K,Ausstellung
"Say it with flowers! : Viennese flower painting from Waldmüller to Klimt, [exhibition Orangerie of the Lower Belvedere, Vienna, June 22 - September 30, 2018]. ","Vienna : Belvedere , 2018",2018,9783791357928,,K,Vienna
"Gustav Klimt : d'or et de couleurs, [exposition, Bordeaux, Bassins de lumières, 10 juin-30 mai 2020]. ","Paris : Hazan , DL 2020",2020,9782754111799,,K,Bordeaux
"À fleur de peau : Vienne 1900, de Klimt à Schiele et Kokoschka, [exposition, Lausanne, Musée cantonal des beaux-arts de Lausanne, 14 février-24 mai 2020]. ","Paris : Hazan ; Lausanne : Musée cantonal des beaux-arts , DL 2020",2020,9782754111386,,K,Kokoschka
"Klimt e i maestri ""segreti"" della Ricci Oddi : mostra, Piacenza, Galleria d'arte moderna Ricci Oddi, 3 luglio 2021 - 9 gennaio 2022. ","Piacenza : Galleria d'arte moderna Ricci Oddi ; Busto Arsizio (VA) : Nomos edizioni , impr. 2021",2021,9791259580344,,K,"Piacenza, Galleria, Ricci Oddi"
Klimt e i maestri «segreti» della Ricci Oddi. Catalogo della mostra. ,,2021,9791259580344,E. Pontiggia,K,
"Klimt : la secessione e l'Italia, [mostra al Palazzo Braschi, Rome, dal 26 Ottobre, 2021- 22  Marzo 2022]. ","Milano : Skira , 2021",2021,8857246574,,K,Rome
"Klimt e l'arte italiana : [mostra, Museo d'arte moderna e contemporanea di Trento e Rovereto, MART, Rovereto, march 16 - june 18, 2023]. ","Cinisello Balsamo, Milano : Silvana editoriale",2023,8836654703,,K,"Trento, Rovereto"
